numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,396,396,1882,1765,82,90,0,0,0,7,143600,0,0,2854748160,559,23555280,0,0,40,40,20,20,1680,840,840,0,1680,40,2
2,41,397,396,1964,1724,84,95,0,50,0,8,143729,0,0,2854748160,559,23555280,0,0,40,40,20,20,1680,840,840,0,1680,40,9
2,41,423,423,1967,1767,93,93,0,27,0,7,143729,0,0,2854748160,559,23555280,0,0,40,40,0,40,1680,0,1680,0,1680,40,8
2,41,423,423,2055,1832,88,92,0,10,0,8,143643,0,0,2854748160,559,23555280,0,0,40,40,20,20,1680,840,840,0,1680,40,1
2,41,392,391,1820,1718,76,89,0,0,0,8,143600,0,0,2854748160,559,23555280,0,0,40,40,20,20,1680,840,840,0,1680,40,10
2,41,426,425,1932,1798,79,91,0,0,0,8,143600,0,0,2854748160,559,23555280,0,0,40,40,20,20,1680,840,840,0,1680,40,5
2,41,380,379,1905,1792,81,91,0,0,0,8,143600,0,0,2854748160,559,23555280,0,0,40,40,0,40,1680,0,1680,0,1680,40,6
2,41,411,410,1914,1791,85,90,0,0,0,8,143600,0,0,2854748160,559,23555280,0,0,40,40,0,40,1680,0,1680,0,1680,40,7
2,41,411,410,1928,1782,91,93,0,5,0,8,143600,0,0,2854748160,559,23555280,0,0,40,40,20,20,1680,840,840,0,1680,40,4
2,41,403,403,1916,1771,80,91,0,8,0,8,143643,0,0,2854748160,559,23555280,0,0,40,40,20,20,1680,840,840,0,1680,40,3
