numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,81,537,473,2150,2072,124,152,0,33,0,7,1731618,0,0,1650063360,559,23661648,0,0,40,40,20,20,1680,840,840,0,1680,40,8
3,81,548,477,2178,2095,131,155,0,40,0,8,1731747,0,0,1650063360,559,23661648,0,0,40,40,20,20,1680,840,840,0,1680,40,10
3,81,542,475,2204,2094,128,154,0,48,0,8,1731532,0,0,1650063360,559,23661648,0,0,40,40,0,40,1680,0,1680,0,1680,40,6
3,81,574,504,2257,2013,133,155,0,28,0,7,1731747,0,0,1650063360,559,23661648,0,0,40,40,0,40,1680,0,1680,0,1680,40,4
3,81,559,493,2273,2125,149,155,0,89,0,8,1731532,0,0,1650063360,559,23661648,0,0,40,40,20,20,1680,840,840,0,1680,40,9
3,81,529,467,2130,2054,127,154,0,30,0,7,1731618,0,0,1650063360,559,23661648,0,0,40,40,20,20,1680,840,840,0,1680,40,2
3,81,660,525,2173,2051,190,162,0,52,0,8,1732005,0,0,1650063360,559,23661648,0,0,40,40,20,20,1680,840,840,0,1680,40,1
3,81,604,542,2328,2132,132,157,0,110,0,7,1731833,0,0,1650063360,559,23661648,0,0,40,40,0,40,1680,0,1680,0,1680,40,3
3,81,536,468,2227,2093,138,155,0,73,0,8,1731747,0,0,1650063360,559,23661648,0,0,40,40,0,40,1680,0,1680,0,1680,40,7
3,81,557,491,2143,2052,120,152,0,42,0,8,1731446,0,0,1650063360,559,23661648,0,0,40,40,20,20,1680,840,840,0,1680,40,5
