numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,281,1892,1888,9593,9267,460,600,0,200,23,530,906716,0,0,6920601600,559,23661648,0,0,5067210,600,300,300,57750195,56522020,1228175,0,57750195,5067210,1
3,281,1822,1816,9445,9283,445,594,0,78,2,538,906501,0,0,6920601600,559,23661648,0,0,5067210,600,400,200,57750195,56526220,1223975,0,57750195,5067210,8
3,281,1828,1824,9415,9254,440,589,0,98,1,549,906587,0,0,6920601600,559,23661648,0,0,5067210,600,300,300,57750195,56522020,1228175,0,57750195,5067210,6
3,281,1865,1859,9467,9266,456,606,0,79,9,536,906501,0,0,6920601600,559,23661648,0,0,5067210,600,400,200,57750195,56526220,1223975,0,57750195,5067210,9
3,281,1894,1889,9597,9290,446,602,0,157,14,545,906630,0,0,6920601600,559,23661648,0,0,5067210,600,400,200,57750195,56526220,1223975,0,57750195,5067210,10
3,281,1859,1855,9503,9246,442,601,0,158,15,550,906673,0,0,6920601600,559,23661648,0,0,5067210,600,400,200,57750195,56526220,1223975,0,57750195,5067210,4
3,281,1879,1873,9513,9227,448,603,0,182,23,529,906759,0,0,6920601600,559,23661648,0,0,5067210,600,400,200,57750195,56526220,1223975,0,57750195,5067210,2
3,281,1871,1866,9452,9237,457,600,0,127,9,553,906587,0,0,6920601600,559,23661648,0,0,5067210,600,400,200,57750195,56526220,1223975,0,57750195,5067210,5
3,281,2042,2037,10037,9606,463,606,0,91,35,548,906544,0,0,6920601600,559,23661648,0,0,5067210,600,400,200,57750195,56526220,1223975,0,57750195,5067210,7
3,281,1943,1939,9647,9334,462,609,0,188,1,548,906716,0,0,6920601600,559,23661648,0,0,5067210,600,300,300,57750195,56522020,1228175,0,57750195,5067210,3
