numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,4034,4034,22497,21737,89,97,0,70,0,8,143815,0,0,5410652160,5089,367975952,0,0,40,40,19,21,1680,798,882,0,1680,40,5
2,41,4144,4144,22746,21880,81,91,0,108,0,8,143858,0,0,5410652160,5089,367947060,0,0,40,40,21,19,1680,882,798,0,1680,40,1
2,41,4068,4067,22740,21951,79,92,0,79,0,8,143772,0,0,5410652160,5089,367947062,0,0,40,40,19,21,1680,798,882,0,1680,40,9
2,41,4139,4139,22564,21707,81,89,0,92,0,8,143815,0,0,5410652160,5089,367947066,0,0,40,40,19,21,1680,798,882,0,1680,40,2
2,41,4141,4141,22484,21659,79,90,0,53,0,8,143686,0,0,5410652160,5089,367947060,0,0,40,40,21,19,1680,882,798,0,1680,40,6
2,41,4092,4092,22744,21866,77,89,0,52,0,8,143729,0,0,5410652160,5089,367946271,0,0,40,40,0,40,1680,0,1680,0,1680,40,8
2,41,4098,4097,22628,21802,84,93,0,86,0,8,143858,0,0,5410652160,5089,367947060,0,0,40,40,21,19,1680,882,798,0,1680,40,7
2,41,4066,4065,22454,21665,88,94,0,38,0,8,143729,0,0,5410652160,5089,367946271,0,0,40,40,19,21,1680,798,882,0,1680,40,3
2,41,4447,4447,23510,22055,79,92,0,117,0,8,143772,0,0,5410652160,5089,367947066,0,0,40,40,21,19,1680,882,798,0,1680,40,10
2,41,4100,4099,22767,21868,78,88,0,65,0,8,143815,0,0,5410652160,5089,367946271,0,0,40,40,21,19,1680,882,798,0,1680,40,4
