numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,5733,5732,31502,30238,97,111,0,457,0,9,162164,0,0,10108272640,5089,367945472,0,0,40,40,21,19,1680,882,798,0,1680,40,7
2,41,5657,5657,31224,30049,91,108,0,435,0,8,161992,0,0,10108272640,5089,367946276,0,0,40,40,21,19,1680,882,798,0,1680,40,10
2,41,6030,6030,33249,30697,107,121,0,1387,0,8,162379,0,0,10108272640,5089,367947066,0,0,40,40,21,19,1680,882,798,0,1680,40,1
2,41,5883,5882,32036,30471,89,106,0,738,0,8,162293,0,0,10108272640,5089,367947064,0,0,40,40,21,19,1680,882,798,0,1680,40,3
2,41,5719,5718,31534,30370,100,107,0,375,0,8,162035,0,0,10108272640,5089,367947060,0,0,40,40,21,19,1680,882,798,0,1680,40,9
2,41,5698,5698,31384,30214,94,106,0,436,0,9,162035,0,0,10108272640,5089,367947857,0,0,40,40,21,19,1680,882,798,0,1680,40,8
2,41,5853,5852,32805,30434,89,108,0,1096,0,8,162293,0,0,10108272640,5089,367947066,0,0,40,40,21,19,1680,882,798,0,1680,40,2
2,41,5723,5723,31583,30194,102,107,0,620,0,8,162336,0,0,10108272640,5089,367947857,0,0,40,40,0,40,1680,0,1680,0,1680,40,4
2,41,5706,5706,31600,30377,92,107,0,520,0,8,162207,0,0,10108272640,5089,367947066,0,0,40,40,19,21,1680,798,882,0,1680,40,5
2,41,5655,5655,31686,30352,90,106,0,552,0,8,162035,0,0,10108272640,5089,367947066,0,0,40,40,19,21,1680,798,882,0,1680,40,6
