numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,281,12807,12802,79113,78024,479,604,0,807,0,1577,908264,0,0,8388608000,5089,368998176,0,0,50486551,600,315,285,575063177,556968970,18094207,0,575063177,50486551,4
3,281,12802,12797,79301,78372,468,600,0,601,0,1582,908049,0,0,8388608000,5089,368998176,0,0,50486551,600,381,219,575063177,556971742,18091435,0,575063177,50486551,9
3,281,12688,12683,78653,77641,452,609,0,751,1,1595,908307,0,0,8388608000,5089,368998176,0,0,50486551,600,381,219,575063177,556971742,18091435,0,575063177,50486551,2
3,281,12894,12889,78558,77621,491,620,0,673,0,1606,908092,0,0,8388608000,5089,368998176,0,0,50486551,600,313,287,575063177,556804893,18258284,0,575063177,50486551,6
3,281,12543,12539,79520,78315,493,609,0,883,13,1611,908393,0,0,8388608000,5089,368998176,0,0,50486551,600,312,288,575063177,554090424,20972753,0,575063177,50486551,1
3,281,12775,12771,78913,77759,484,617,0,764,1,1591,908221,0,0,8388608000,5089,368998176,0,0,50486551,600,315,285,575063177,556968970,18094207,0,575063177,50486551,3
3,281,12835,12831,78910,78040,454,595,0,616,2,1633,908006,0,0,8388608000,5089,368998176,0,0,50486551,600,382,218,575063177,556900765,18162412,0,575063177,50486551,10
3,281,13892,13887,85946,77909,464,614,0,658,11,1611,908049,0,0,8388608000,5089,368998176,0,0,50486551,600,374,226,575063177,548335659,26727518,0,575063177,50486551,7
3,281,12959,12954,79216,78095,453,594,0,728,0,1584,908178,0,0,8388608000,5089,368998176,0,0,50486551,600,383,217,575063177,556971826,18091351,0,575063177,50486551,5
3,281,12790,12785,78628,77736,481,598,0,681,0,1602,908135,0,0,8388608000,5089,368998176,0,0,50486551,600,380,220,575063177,556900681,18162496,0,575063177,50486551,8
