numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,48701,48701,328300,310491,102,97,0,7220,0,7,148760,3722268091,23152558080,17783848960,50535,3948053762,0,0,40,40,13,27,1680,546,1134,0,1680,40,2
2,41,50400,50400,337452,313326,90,98,0,11433,0,8,148760,3722268091,23152558080,17783848960,50535,3953245857,0,0,40,40,15,25,1680,630,1050,0,1680,40,3
2,41,50475,50474,339318,315003,106,95,0,12538,0,7,148760,3722268091,23152558080,17783848960,50535,3952944357,0,0,40,40,12,28,1680,504,1176,0,1680,40,5
2,41,51700,51700,340418,317188,96,98,0,11918,0,7,148760,3722268091,23152558080,17783848960,50535,3945461661,0,0,40,40,13,27,1680,546,1134,0,1680,40,4
2,41,50349,50348,343282,317083,91,95,0,13479,0,7,148760,3722268091,23152558080,17783848960,50535,3956014867,0,0,40,40,12,28,1680,504,1176,0,1680,40,6
2,41,47991,47990,325665,305643,119,110,0,8074,0,7,148760,3722268091,23152558080,17783848960,50535,3956020964,0,0,40,40,15,25,1680,630,1050,0,1680,40,1
2,41,50519,50518,337109,313446,99,95,0,12331,0,7,148760,3722268091,23152558080,17783848960,50535,3956014867,0,0,40,40,12,28,1680,504,1176,0,1680,40,9
2,41,48243,48243,338562,311362,91,91,0,15145,0,7,148760,3722268091,23152558080,17783848960,50535,3952079549,0,0,40,40,11,29,1680,462,1218,0,1680,40,10
2,41,48291,48291,333130,309281,89,94,0,12136,0,7,148760,3722268091,23152558080,17783848960,50535,3956020964,0,0,40,40,11,29,1680,462,1218,0,1680,40,8
2,41,49947,49946,330584,308023,112,97,0,11498,0,7,148760,3722268091,23152558080,17783848960,50535,3955204117,0,0,40,40,11,29,1680,462,1218,0,1680,40,7
