numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,41,68639,68638,477928,439917,114,110,0,23794,0,7,166120,6213656424,43050336256,34997272576,50535,3949534545,0,0,40,40,14,26,1680,588,1092,0,1680,40,1
2,41,66934,66933,470753,446196,110,108,0,12566,0,7,166120,6358099639,44090523648,36037459968,50535,3954758032,0,0,40,40,15,25,1680,630,1050,0,1680,40,10
2,41,68458,68458,473669,444883,108,109,0,15544,0,7,166120,6358094195,44090523648,36037459968,50535,3955468470,0,0,40,40,13,27,1680,546,1134,0,1680,40,6
2,41,68681,68680,475684,446509,120,111,0,15067,0,7,166120,6319161691,43788533760,35735470080,50535,3956008704,0,0,40,40,13,27,1680,546,1134,0,1680,40,4
2,41,67717,67716,479134,448516,108,108,0,17640,0,8,166120,6358114104,44090523648,36037459968,50535,3950048557,0,0,40,40,12,28,1680,504,1176,0,1680,40,8
2,41,68399,68399,473767,444688,102,109,0,16613,0,7,166120,6317539079,43788533760,35735470080,50535,3952539500,0,0,40,40,13,27,1680,546,1134,0,1680,40,2
2,41,66460,66460,468779,442592,106,111,0,14425,0,8,166120,6358110422,44090523648,36037459968,50535,3945028074,0,0,40,40,15,25,1680,630,1050,0,1680,40,5
2,41,67576,67576,477438,447818,105,107,0,16112,0,8,166120,6358127232,44090523648,36037459968,50535,3956014829,0,0,40,40,15,25,1680,630,1050,0,1680,40,9
2,41,67770,67770,474535,446988,116,115,0,15148,0,7,166120,6358109116,44090523648,36037459968,50535,3953239668,0,0,40,40,12,28,1680,504,1176,0,1680,40,7
2,41,68458,68457,474900,445234,128,112,0,16065,0,8,166120,6309416706,43721424896,35668361216,50535,3953233543,0,0,40,40,12,28,1680,504,1176,0,1680,40,3
