numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,329,329,572,382,145,147,0,17,0,13,287286,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,7
2,81,318,317,535,371,122,147,0,8,0,13,287243,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,4
2,81,347,347,623,387,150,148,0,23,0,14,287329,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,9
2,81,347,347,577,376,135,147,0,13,0,13,287286,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,1
2,81,314,314,561,366,125,146,0,0,0,13,287200,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,2
2,81,360,360,662,384,133,147,0,11,0,13,287243,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,5
2,81,337,337,568,376,118,141,0,14,0,15,287243,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,3
2,81,329,329,534,374,120,145,7,7,0,13,287286,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,6
2,81,368,367,602,386,118,149,0,0,0,14,287200,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,8
2,81,395,395,621,388,125,149,0,0,0,14,287200,0,0,5394006016,160,2388145,0,0,80,80,62,18,3360,2604,756,0,3360,80,10
