numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,361,1045,1041,3027,2809,611,718,0,21,63,766,906243,0,0,6727794688,160,2407416,0,0,506025,1000,460,540,5798752,4273201,1525551,0,5798752,506025,3
3,361,1087,1083,3122,2826,594,719,8,43,76,789,906372,0,0,6727794688,160,2407416,0,0,506025,1000,514,486,5798752,4321199,1477553,0,5798752,506025,7
3,361,1105,1100,3219,2816,582,702,0,45,99,775,906329,0,0,6727794688,160,2407416,0,0,506025,1000,518,482,5798752,4313108,1485644,0,5798752,506025,8
3,361,1125,1120,3257,2795,626,721,0,49,65,757,906372,0,0,6727794688,160,2407416,0,0,506025,1000,549,451,5798752,4319974,1478778,0,5798752,506025,2
3,361,1065,1061,3163,2815,560,687,0,61,91,787,906372,0,0,6727794688,160,2407416,0,0,506025,1000,550,450,5798752,4302108,1496644,0,5798752,506025,10
3,361,1098,1094,3359,2812,590,728,0,33,51,760,906329,0,0,6727794688,160,2407416,0,0,506025,1000,552,448,5798752,4309068,1489684,0,5798752,506025,6
3,361,1088,1084,3160,2804,564,699,0,76,60,800,906372,0,0,6727794688,160,2407416,0,0,506025,1000,552,448,5798752,4298315,1500437,0,5798752,506025,4
3,361,1101,1095,3238,2813,619,717,0,73,85,779,906372,0,0,6727794688,160,2407416,0,0,506025,1000,445,555,5798752,4279797,1518955,0,5798752,506025,5
3,361,1015,1010,2983,2746,560,686,0,40,46,754,906329,0,0,6727794688,160,2407416,0,0,506025,1000,553,447,5798752,4280078,1518674,0,5798752,506025,9
3,361,1037,1032,3049,2804,636,710,0,22,23,772,906243,0,0,6727794688,160,2407416,0,0,506025,1000,556,444,5798752,4268387,1530365,0,5798752,506025,1
