numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,884,884,1929,1726,147,164,0,12,0,15,287243,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,5
2,81,871,870,1945,1704,137,164,0,24,0,15,287286,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,10
2,81,887,887,2014,1779,147,163,0,22,0,15,287286,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,3
2,81,966,966,2204,1824,162,168,0,13,0,16,287243,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,4
2,81,948,948,2071,1800,140,165,0,0,0,15,287200,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,8
2,81,901,901,1970,1741,159,165,0,12,0,15,287243,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,7
2,81,961,961,2160,1876,153,169,0,14,0,15,287243,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,2
2,81,880,880,1957,1736,156,166,0,0,0,15,287200,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,6
2,81,926,925,2015,1780,144,168,0,11,0,16,287243,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,9
2,81,912,911,2002,1771,143,167,0,13,0,16,287243,0,0,5541724160,628,23640459,0,0,80,80,62,18,3360,2604,756,0,3360,80,1
