numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,161,680,616,2408,2225,229,289,0,89,0,15,1857383,0,0,3216240640,628,23765320,0,0,80,80,39,41,3360,1638,1722,0,3360,80,7
3,161,721,654,2418,2275,225,288,0,84,0,15,1857125,0,0,3216240640,628,23765320,0,0,80,80,2,78,3360,84,3276,0,3360,80,3
3,161,709,606,2407,2304,240,295,0,16,0,15,1857985,0,0,3216240640,628,23765320,0,0,80,80,39,41,3360,1638,1722,0,3360,80,9
3,161,683,617,2382,2278,226,295,0,34,0,15,1857598,0,0,3216240640,628,23765320,0,0,80,80,2,78,3360,84,3276,0,3360,80,2
3,161,682,606,2421,2285,233,297,0,43,0,16,1858501,0,0,3216240640,628,23765320,0,0,80,80,2,78,3360,84,3276,0,3360,80,10
3,161,682,617,2422,2297,244,296,0,48,0,16,1857641,0,0,3216240640,628,23765320,0,0,80,80,39,41,3360,1638,1722,0,3360,80,5
3,161,716,642,2500,2316,263,296,0,58,0,15,1858028,0,0,3216240640,628,23765320,0,0,80,80,2,78,3360,84,3276,0,3360,80,6
3,161,764,685,2716,2294,263,305,0,69,0,16,1859017,0,0,3216240640,628,23765320,0,0,80,80,39,41,3360,1638,1722,0,3360,80,1
3,161,713,632,2355,2282,229,284,0,0,0,15,1857340,0,0,3216240640,628,23765320,0,0,80,80,39,41,3360,1638,1722,0,3360,80,4
3,161,703,632,2494,2263,239,291,0,109,0,15,1857684,0,0,3216240640,628,23765320,0,0,80,80,39,41,3360,1638,1722,0,3360,80,8
