numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,361,1858,1854,10112,9749,557,721,0,250,15,914,906587,0,0,6920601600,628,23765320,0,0,5067210,1000,482,518,57882285,44669236,13213049,0,57882285,5067210,2
3,361,1829,1824,10068,9785,573,716,0,94,27,905,906501,0,0,6920601600,628,23765320,0,0,5067210,1000,393,607,57882285,44532279,13350006,0,57882285,5067210,10
3,361,1895,1890,10166,9816,560,727,0,140,8,927,906501,0,0,6920601600,628,23765320,0,0,5067210,1000,472,528,57882285,44414926,13467359,0,57882285,5067210,7
3,361,1843,1838,10091,9885,586,716,0,78,25,900,906458,0,0,6920601600,628,23765320,0,0,5067210,1000,474,526,57882285,44491567,13390718,0,57882285,5067210,9
3,361,1844,1839,10003,9722,576,715,0,85,60,880,906458,0,0,6920601600,628,23765320,0,0,5067210,1000,480,520,57882285,44563220,13319065,0,57882285,5067210,8
3,361,1848,1844,10158,9857,574,730,0,164,11,909,906544,0,0,6920601600,628,23765320,0,0,5067210,1000,478,522,57882285,44472349,13409936,0,57882285,5067210,4
3,361,1886,1882,10226,9927,562,723,0,109,23,903,906415,0,0,6920601600,628,23765320,0,0,5067210,1000,479,521,57882285,44551423,13330862,0,57882285,5067210,6
3,361,1879,1873,10165,9851,600,724,0,137,55,906,906544,0,0,6920601600,628,23765320,0,0,5067210,1000,476,524,57882285,44692077,13190208,0,57882285,5067210,3
3,361,1869,1864,10162,9775,558,725,0,120,60,906,906458,0,0,6920601600,628,23765320,0,0,5067210,1000,478,522,57882285,44693570,13188715,0,57882285,5067210,1
3,361,1844,1840,10095,9787,549,726,0,189,38,965,906630,0,0,6920601600,628,23765320,0,0,5067210,1000,469,531,57882285,44579196,13303089,0,57882285,5067210,5
