numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,5497,5496,32277,30386,184,221,0,880,0,17,323167,0,0,11450449920,5148,370463069,0,0,80,80,2,78,3360,84,3276,0,3360,80,1
2,81,5418,5418,32009,30366,175,209,0,680,0,17,323038,0,0,11450449920,5148,370462522,0,0,80,80,39,41,3360,1638,1722,0,3360,80,2
2,81,5398,5397,31527,30261,174,204,0,389,0,17,322866,0,0,11450449920,5148,370462522,0,0,80,80,39,41,3360,1638,1722,0,3360,80,8
2,81,5438,5438,31729,30362,171,211,0,420,0,17,323038,0,0,11450449920,5148,370446627,0,0,80,80,2,78,3360,84,3276,0,3360,80,5
2,81,5347,5347,31755,30431,171,210,0,362,0,17,322866,0,0,11450449920,5148,370461439,0,0,80,80,39,41,3360,1638,1722,0,3360,80,9
2,81,5335,5334,31550,30345,174,210,0,300,0,18,322823,0,0,11450449920,5148,370462522,0,0,80,80,39,41,3360,1638,1722,0,3360,80,10
2,81,5419,5418,31710,30477,173,208,0,376,0,17,322995,0,0,11450449920,5148,370462522,0,0,80,80,39,41,3360,1638,1722,0,3360,80,6
2,81,5382,5381,31704,30299,163,206,0,470,0,17,323081,0,0,11450449920,5148,370476576,0,0,80,80,39,41,3360,1638,1722,0,3360,80,4
2,81,5474,5474,31870,30378,166,206,0,607,0,17,322995,0,0,11450449920,5148,370462526,0,0,80,80,39,41,3360,1638,1722,0,3360,80,3
2,81,5429,5429,31627,30407,183,202,0,363,0,17,322866,0,0,11450449920,5148,370461975,0,0,80,80,39,41,3360,1638,1722,0,3360,80,7
