numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,61622,61622,334927,320571,180,184,0,4433,0,14,297133,3733883220,24494735360,35232153600,50570,3983696896,0,0,80,80,41,39,3360,1722,1638,0,3360,80,4
2,81,60976,60975,328783,315825,170,183,0,3236,0,15,297090,3733883220,24494735360,35232153600,50570,3978748876,0,0,80,80,41,39,3360,1722,1638,0,3360,80,7
2,81,61929,61929,332198,316256,182,184,0,4232,0,15,297262,3733883220,24494735360,35232153600,50570,3984981803,0,0,80,80,23,57,3360,966,2394,0,3360,80,10
2,81,60183,60183,332945,317348,166,187,0,4972,0,15,297262,3733883220,24494735360,35232153600,50570,3975389052,0,0,80,80,39,41,3360,1638,1722,0,3360,80,5
2,81,62523,62523,339746,321722,181,189,0,6838,0,15,297219,3733883220,24494735360,35232153600,50570,3982601489,0,0,80,80,23,57,3360,966,2394,0,3360,80,2
2,81,64332,64332,343611,325603,190,207,0,6612,0,15,297520,3733883220,24494735360,35232153600,50570,3985547241,0,0,80,80,41,39,3360,1722,1638,0,3360,80,1
2,81,59060,59059,331520,318095,158,183,0,3587,0,15,297090,3733883220,24494735360,35232153600,50570,3977661642,0,0,80,80,24,56,3360,1008,2352,0,3360,80,3
2,81,61428,61428,328400,316427,165,188,0,2207,0,14,297176,3733883220,24494735360,35232153600,50570,3984242638,0,0,80,80,16,64,3360,672,2688,0,3360,80,8
2,81,62224,62224,332025,317697,155,179,0,4047,0,15,297262,3733883220,24494735360,35232153600,50570,3982215547,0,0,80,80,41,39,3360,1722,1638,0,3360,80,6
2,81,59967,59967,329696,317182,154,179,0,3000,0,15,297004,3733883220,24494735360,35232153600,50570,3979828911,0,0,80,80,24,56,3360,1008,2352,0,3360,80,9
