numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
2,81,76181,76181,427978,388150,173,206,0,27249,0,16,332240,3233024603,27179089920,61035511808,50570,3978197573,0,0,80,80,40,40,3360,1680,1680,0,3360,80,3
2,81,72110,72110,450995,387423,189,215,0,48221,0,16,332240,3233024603,27179089920,61035511808,50570,3975211235,0,0,80,80,20,60,3360,840,2520,0,3360,80,2
2,81,69759,69758,422550,384058,186,206,0,26423,0,16,332240,3233024603,27179089920,61035511808,50570,3970755502,0,0,80,80,36,44,3360,1512,1848,0,3360,80,6
2,81,74967,74967,420361,385955,185,205,0,23229,0,17,332240,3233024603,27179089920,61035511808,50570,3974409878,0,0,80,80,23,57,3360,966,2394,0,3360,80,4
2,81,72437,72437,461575,390932,193,218,0,53485,0,17,332240,3233024603,27179089920,61035511808,50570,3980425877,0,0,80,80,34,46,3360,1428,1932,0,3360,80,1
2,81,72751,72751,430868,384123,192,210,0,31614,0,17,332240,3233024603,27179089920,61035511808,50570,3986794331,0,0,80,80,36,44,3360,1512,1848,0,3360,80,5
2,81,66426,66425,401404,379036,240,215,0,11066,0,16,332240,3233024603,27179089920,61035511808,50570,3978976328,0,0,80,80,36,44,3360,1512,1848,0,3360,80,8
2,81,69694,69694,428613,386737,179,209,0,26729,0,16,332240,3233024603,27179089920,61035511808,50570,3980749346,0,0,80,80,26,54,3360,1092,2268,0,3360,80,10
2,81,68605,68605,398221,377725,187,217,0,10503,0,16,332240,3233024603,27179089920,61035511808,50570,3976285073,0,0,80,80,18,62,3360,756,2604,0,3360,80,9
2,81,69021,69021,423384,384654,185,213,0,26638,0,16,332240,3233024603,27179089920,61035511808,50570,3978654364,0,0,80,80,18,62,3360,756,2604,0,3360,80,7
