numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,361,98690,98685,744766,730330,636,833,0,12301,0,12468,914800,0,0,53687091200,50570,3893957956,0,0,504931085,1000,515,485,5758151387,4424546843,1333604544,0,5758151387,504931085,1
3,361,97143,97138,742040,731601,567,729,0,8465,5,12719,914800,0,0,53687091200,50570,3893350388,0,0,504931085,1000,501,499,5758151387,4339615143,1418536244,0,5758151387,504931085,2
3,361,96035,96029,739221,729054,527,729,0,8344,0,12479,914800,0,0,53687091200,50570,3894229699,0,0,504931085,1000,504,496,5758151387,4421790656,1336360731,0,5758151387,504931085,9
3,361,98093,98087,742627,732227,537,728,0,8011,0,12754,914800,0,0,53687091200,50570,3893350388,0,0,504931085,1000,501,499,5758151387,4283924699,1474226688,0,5758151387,504931085,5
3,361,97149,97143,742784,731834,555,729,0,8065,0,12763,914800,0,0,53687091200,50570,3892268436,0,0,504931085,1000,520,480,5758151387,4492568876,1265582511,0,5758151387,504931085,3
3,361,97293,97289,740637,730539,542,737,0,7970,0,12947,914800,0,0,53687091200,50570,3892845813,0,0,504931085,1000,514,486,5758151387,4422335995,1335815392,0,5758151387,504931085,8
3,361,97244,97238,740664,729980,560,727,0,8550,0,12628,914800,0,0,53687091200,50570,3891319729,0,0,504931085,1000,509,491,5758151387,4366722551,1391428836,0,5758151387,504931085,6
3,361,97146,97141,741370,730608,550,728,0,8266,0,12802,914800,0,0,53687091200,50570,3892860143,0,0,504931085,1000,522,478,5758151387,4426432544,1331718843,0,5758151387,504931085,7
3,361,97209,97205,738833,728726,719,732,0,8026,0,12638,914800,0,0,53687091200,50570,3891741415,0,0,504931085,1000,497,503,5758151387,4259288963,1498862424,0,5758151387,504931085,10
3,361,96699,96695,739666,729421,544,733,0,8148,0,12541,914800,0,0,53687091200,50570,3893350388,0,0,504931085,1000,506,494,5758151387,4288093447,1470057940,0,5758151387,504931085,4
