numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,681,712,1843,1097,368,433,0,0,159,95,1079800,0,0,13451329536,52,2338792,0,0,506025,1000,400,600,4006577,1007542,2999035,0,4006577,506025,1
4,205,584,621,1539,1084,359,430,0,13,106,108,1079843,0,0,13451329536,52,2338792,0,0,506025,1000,400,600,4006577,1163508,2843069,0,4006577,506025,10
4,205,651,671,1750,1097,372,438,0,10,144,94,1079843,0,0,13451329536,52,2338792,0,0,506025,1000,400,600,4006577,1051639,2954938,0,4006577,506025,8
4,205,688,712,1883,1098,373,432,0,22,135,93,1079886,0,0,13451329536,52,2338792,0,0,506025,1000,400,600,4006577,1137185,2869392,0,4006577,506025,9
4,205,594,619,1562,1055,373,430,0,22,124,90,1079886,0,0,13451329536,52,2338792,0,0,506025,1000,400,600,4006577,1164751,2841826,0,4006577,506025,3
4,205,589,613,1578,1064,356,429,0,15,109,91,1079886,0,0,13451329536,52,2338792,0,0,506025,1000,430,570,4006577,1179178,2827399,0,4006577,506025,6
4,205,633,658,1735,1080,380,435,0,9,179,96,1079843,0,0,13451329536,52,2338792,0,0,506025,1000,400,600,4006577,1100340,2906237,0,4006577,506025,4
4,205,717,741,1980,1129,418,441,0,30,234,97,1079886,0,0,13451329536,52,2338792,0,0,506025,1000,400,600,4006577,1022022,2984555,0,4006577,506025,7
4,205,705,739,1751,1145,416,444,0,0,145,119,1079800,0,0,13451329536,52,2338792,0,0,506025,1000,420,580,4006577,1161056,2845521,0,4006577,506025,2
4,205,584,609,1477,1067,359,424,0,0,77,91,1079800,0,0,13451329536,52,2338792,0,0,506025,1000,400,600,4006577,1176018,2830559,0,4006577,506025,5
