numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,602,565,1657,1145,459,522,1,57,159,69,1000929,0,0,6723993600,52,2338792,0,0,241921,600,318,282,2475116,1228025,1247091,0,2475116,241921,2
4,205,518,490,1418,1032,409,481,0,7,47,67,1000800,0,0,6723993600,52,2338792,0,0,241921,600,200,400,2475116,1215528,1259588,0,2475116,241921,9
4,205,485,450,1185,1068,422,502,0,9,21,66,1000800,0,0,6723993600,52,2338792,0,0,241921,600,299,301,2475116,1240368,1234748,0,2475116,241921,10
4,205,537,504,1482,1090,420,513,0,32,113,69,1000886,0,0,6723993600,52,2338792,0,0,241921,600,294,306,2475116,1232095,1243021,0,2475116,241921,7
4,205,542,501,1415,1091,449,513,0,0,27,71,1000800,0,0,6723993600,52,2338792,0,0,241921,600,200,400,2475116,1232183,1242933,0,2475116,241921,6
4,205,559,516,1387,1087,434,506,0,0,80,66,1000800,0,0,6723993600,52,2338792,0,0,241921,600,295,305,2475116,1234619,1240497,0,2475116,241921,4
4,205,456,426,1166,1050,402,491,0,0,19,65,1000800,0,0,6723993600,52,2338792,0,0,241921,600,303,297,2475116,1233033,1242083,0,2475116,241921,8
4,205,508,477,1274,1049,394,486,0,12,41,64,1000843,0,0,6723993600,52,2338792,0,0,241921,600,200,400,2475116,1225432,1249684,0,2475116,241921,5
4,205,710,654,1912,1189,550,590,6,40,139,72,1000972,0,0,6723993600,52,2338792,0,0,241921,600,295,305,2475116,1233006,1242110,0,2475116,241921,1
4,205,556,497,1423,1095,438,513,0,0,87,66,1000800,0,0,6723993600,52,2338792,0,0,241921,600,294,306,2475116,1246297,1228819,0,2475116,241921,3
