numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,209,2183,2228,4703,3959,456,501,0,31,89,164,1079843,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,6
4,209,1973,2617,4142,3835,399,472,5,26,20,157,1079886,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,1
4,209,2203,2266,4658,3950,497,494,0,9,33,171,1079800,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,9
4,209,1990,2031,4197,3818,418,489,0,25,26,165,1079843,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,7
4,209,1834,2454,3853,3716,381,464,0,0,21,160,1079800,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,10
4,209,2130,2177,4520,3920,519,504,0,24,53,166,1079843,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,5
4,209,1934,2558,4075,3793,408,477,13,0,10,160,1079843,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,2
4,209,2049,2690,4317,3950,449,492,0,0,46,176,1079800,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,4
4,209,2218,2259,4766,4007,476,505,2,16,69,164,1079886,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,3
4,209,1854,1896,3938,3733,369,462,0,0,10,163,1079800,0,0,13642498048,509,23616728,0,0,5067210,1000,800,200,40078688,20931018,19147670,0,40078688,5067210,8
