numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,209,1200,1138,3680,3468,407,508,1,10,19,109,1481261,0,0,6814171136,509,23616728,0,0,2460307,600,300,300,24759835,12330731,12429104,0,24759835,2460307,3
4,209,1941,1210,3993,3573,492,514,0,67,56,115,1481218,0,0,6814171136,509,23616728,0,0,2460307,600,200,400,24759835,12375162,12384673,0,24759835,2460307,7
4,209,1299,1238,4100,3614,460,530,0,0,217,111,1481218,0,0,6814171136,509,23616728,0,0,2460307,600,295,305,24759835,12338084,12421751,0,24759835,2460307,6
4,209,1219,1158,3785,3433,424,513,0,0,31,105,1481218,0,0,6814171136,509,23616728,0,0,2460307,600,303,297,24759835,12396700,12363135,0,24759835,2460307,5
4,209,1255,1181,3886,3515,418,516,0,24,78,107,1481218,0,0,6814171136,509,23616728,0,0,2460307,600,300,300,24759835,12331436,12428399,0,24759835,2460307,10
4,209,1297,1236,4226,3730,455,535,0,0,80,106,1481218,0,0,6814171136,509,23616728,0,0,2460307,600,290,310,24759835,12396144,12363691,0,24759835,2460307,1
4,209,1399,1304,4387,3477,418,512,0,18,659,103,1481218,0,0,6814171136,509,23616728,0,0,2460307,600,314,286,24759835,12475981,12283854,0,24759835,2460307,2
4,209,1266,1191,3934,3578,472,528,0,22,83,111,1481218,0,0,6814171136,509,23616728,0,0,2460307,600,200,400,24759835,12393296,12366539,0,24759835,2460307,8
4,209,1292,1229,4134,3541,430,516,0,96,195,107,1481218,0,0,6814171136,509,23616728,0,0,2460307,600,200,400,24759835,12318104,12441731,0,24759835,2460307,4
4,209,1211,1140,3719,3487,427,510,0,12,13,105,1481218,0,0,6814171136,509,23616728,0,0,2460307,600,300,300,24759835,12386752,12373083,0,24759835,2460307,9
