numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,209,2159,2154,8846,8641,410,500,18,67,21,196,906458,0,0,6920601600,509,23616728,0,0,5067210,1000,500,500,57766592,28738443,29028149,0,57766592,5067210,5
3,209,2234,2230,9149,8753,437,508,0,92,38,199,906458,0,0,6920601600,509,23616728,0,0,5067210,1000,495,505,57766592,28966650,28799942,0,57766592,5067210,1
3,209,2172,2168,8887,8566,394,503,0,103,60,202,906415,0,0,6920601600,509,23616728,0,0,5067210,1000,497,503,57766592,28713596,29052996,0,57766592,5067210,9
3,209,2217,2213,9101,8712,399,510,0,78,42,196,906415,0,0,6920601600,509,23616728,0,0,5067210,1000,503,497,57766592,28916582,28850010,0,57766592,5067210,8
3,209,2366,2362,9912,8826,424,508,0,90,103,198,906415,0,0,6920601600,509,23616728,0,0,5067210,1000,506,494,57766592,28769959,28996633,0,57766592,5067210,10
3,209,2148,2143,8776,8519,389,495,0,63,28,197,906415,0,0,6920601600,509,23616728,0,0,5067210,1000,503,497,57766592,28908591,28858001,0,57766592,5067210,6
3,209,2170,2165,8940,8634,396,501,0,85,51,198,906415,0,0,6920601600,509,23616728,0,0,5067210,1000,501,499,57766592,29007742,28758850,0,57766592,5067210,3
3,209,2181,2176,8928,8604,408,490,0,107,108,197,906458,0,0,6920601600,509,23616728,0,0,5067210,1000,503,497,57766592,29017976,28748616,0,57766592,5067210,7
3,209,2363,2359,9711,9031,415,506,0,96,134,201,906458,0,0,6920601600,509,23616728,0,0,5067210,1000,398,602,57766592,28840378,28926214,0,57766592,5067210,4
3,209,2255,2250,9150,8709,466,498,0,92,77,203,906415,0,0,6920601600,509,23616728,0,0,5067210,1000,503,497,57766592,28924218,28842374,0,57766592,5067210,2
