numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,213,12666,12902,43269,41786,521,538,0,386,132,826,1167718,0,0,22701670400,5050,230813088,0,0,50486551,1000,386,614,398926189,99773710,299152479,0,398926189,50486551,3
4,213,12452,12670,42415,41846,498,536,0,306,28,834,1167632,0,0,22701670400,5050,230813088,0,0,50486551,1000,372,628,398926189,93458102,305468087,0,398926189,50486551,5
4,213,12468,12667,42003,41482,461,537,0,287,16,816,1167718,0,0,22701670400,5050,230813088,0,0,50486551,1000,374,626,398926189,94157983,304768206,0,398926189,50486551,10
4,213,12462,12681,41840,41301,509,547,0,233,44,830,1167675,0,0,22701670400,5050,230813088,0,0,50486551,1000,378,622,398926189,96334107,302592082,0,398926189,50486551,7
4,213,12415,12637,42003,41504,500,534,0,232,36,816,1167632,0,0,22701670400,5050,230813088,0,0,50486551,1000,376,624,398926189,95394345,303531844,0,398926189,50486551,6
4,213,12801,13003,43733,42387,526,568,0,686,147,817,1167847,0,0,22701670400,5050,230813088,0,0,50486551,1000,376,624,398926189,95447783,303478406,0,398926189,50486551,1
4,213,12688,16866,43320,42045,558,535,0,284,171,815,1167460,0,0,22701670400,5050,230814550,0,0,50486551,1000,382,618,398926189,97839053,301087136,0,398926189,50486551,2
4,213,12380,12597,42041,41409,449,527,0,321,33,830,1167761,0,0,22701670400,5050,230813088,0,0,50486551,1000,374,626,398926189,94080947,304845242,0,398926189,50486551,9
4,213,12353,12656,42297,41677,516,527,0,242,20,840,1167718,0,0,22701670400,5050,230813088,0,0,50486551,1000,374,626,398926189,94241329,304684860,0,398926189,50486551,8
4,213,12425,12629,41930,41319,479,533,0,263,64,819,1167675,0,0,22701670400,5050,230813088,0,0,50486551,1000,378,622,398926189,96211740,302714449,0,398926189,50486551,4
