numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,227,68716,89460,335583,333508,428,498,0,932,191,8387,1080617,0,0,47395635200,50511,2357986152,0,0,504931085,4200,1635,2565,3990406445,1427325982,2563080463,0,3990406445,504931085,3
4,227,69047,72121,334905,332539,512,514,0,980,134,8373,1080617,0,0,47395635200,50511,2357986152,0,0,504931085,4200,1635,2565,3990406445,1427378728,2563027717,0,3990406445,504931085,4
4,227,70468,73348,336106,333234,432,501,0,1047,33,8471,1080789,0,0,47395635200,50511,2357986152,0,0,504931085,4200,1635,2565,3990406445,1426923572,2563482873,0,3990406445,504931085,9
4,227,68628,90944,339064,335623,455,502,0,1298,55,8944,1080789,0,0,47395635200,50511,2358094263,0,0,504931085,4200,1635,2565,3990406445,1427242598,2563163847,0,3990406445,504931085,7
4,227,68771,90053,337638,335076,436,509,0,981,63,8657,1080703,0,0,47395635200,50511,2357867615,0,0,504931085,4200,1635,2565,3990406445,1426811239,2563595206,0,3990406445,504931085,5
4,227,69964,92282,339069,335473,555,528,0,1109,17,8902,1080832,0,0,47395635200,50511,2357866133,0,0,504931085,4200,1635,2565,3990406445,1426860810,2563545635,0,3990406445,504931085,6
4,227,68839,71505,332097,330163,434,498,0,852,26,8341,1080531,0,0,47395635200,50511,2357986152,0,0,504931085,4200,1635,2565,3990406445,1426651619,2563754826,0,3990406445,504931085,2
4,227,68469,71499,336018,333618,451,503,0,1345,25,8907,1080746,0,0,47395635200,50511,2357986152,0,0,504931085,4200,1635,2565,3990406445,1427329719,2563076726,0,3990406445,504931085,10
4,227,69207,91546,337144,333726,471,501,0,1222,307,8764,1080789,0,0,47395635200,50511,2357866133,0,0,504931085,4200,1635,2565,3990406445,1427087352,2563319093,0,3990406445,504931085,8
4,227,69224,72183,337805,335697,482,510,0,883,182,8641,1080574,0,0,47395635200,50511,2357986152,0,0,504931085,4200,1635,2565,3990406445,1426575023,2563831422,0,3990406445,504931085,1
