numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,227,89792,92846,463468,458065,535,592,0,3749,242,8757,1174856,0,0,87660953600,50511,2357986152,0,0,504931085,4200,1560,2640,3990406445,1399514986,2590891459,0,3990406445,504931085,3
4,227,90245,112173,464755,457992,524,578,0,4460,320,8760,1174985,0,0,87660953600,50511,2357867599,0,0,504931085,4200,1560,2640,3990406445,1399660970,2590745475,0,3990406445,504931085,8
4,227,90391,112561,463793,457639,535,579,0,4036,136,8620,1174856,0,0,87660953600,50511,2357866133,0,0,504931085,4200,1563,2637,3990406445,1400049475,2590356970,0,3990406445,504931085,4
4,227,92482,95474,464106,457953,534,585,0,4296,152,8697,1174985,0,0,87660953600,50511,2357986152,0,0,504931085,4200,1566,2634,3990406445,1403345164,2587061281,0,3990406445,504931085,10
4,227,93059,96129,466714,461040,537,569,0,3817,214,8632,1175071,0,0,87660953600,50511,2357986152,0,0,504931085,4200,1575,2625,3990406445,1404256783,2586149662,0,3990406445,504931085,7
4,227,94063,115069,476560,463067,812,586,0,9456,1401,8755,1175157,0,0,87660953600,50511,2357986152,0,0,504931085,4200,1575,2625,3990406445,1403630980,2586775465,0,3990406445,504931085,1
4,227,92591,114824,468208,461717,560,580,0,4430,156,8676,1175071,0,0,87660953600,50511,2357866133,0,0,504931085,4200,1575,2625,3990406445,1404616408,2585790037,0,3990406445,504931085,6
4,227,90250,93308,463850,458387,540,581,0,3579,105,8892,1174942,0,0,87660953600,50511,2357986152,0,0,504931085,4200,1566,2634,3990406445,1400348440,2590058005,0,3990406445,504931085,9
4,227,90536,93614,464300,458765,547,579,0,3795,223,8629,1174985,0,0,87660953600,50511,2357986152,0,0,504931085,4200,1563,2637,3990406445,1401466640,2588939805,0,3990406445,504931085,2
4,227,93089,115249,466734,459572,605,591,0,4650,192,8666,1174942,0,0,87660953600,50511,2357866133,0,0,504931085,4200,1575,2625,3990406445,1404486032,2585920413,0,3990406445,504931085,5
