numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,618,658,1631,1310,336,419,0,0,53,106,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,514,486,6424282,3223190,3201092,0,6424282,506025,6
4,205,726,760,2036,1338,354,434,0,19,68,110,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,522,478,6424282,3234809,3189473,0,6424282,506025,8
4,205,638,662,1767,1282,320,402,0,0,132,94,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,517,483,6424282,3233074,3191208,0,6424282,506025,9
4,205,667,699,1731,1311,364,423,0,27,134,101,1079886,0,0,13451329536,53,8063368,0,0,506025,1000,484,516,6424282,3228053,3196229,0,6424282,506025,3
4,205,692,732,1869,1328,342,419,0,0,77,107,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,485,515,6424282,3222706,3201576,0,6424282,506025,10
4,205,636,667,1692,1331,340,424,0,0,126,104,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,485,515,6424282,3223436,3200846,0,6424282,506025,4
4,205,620,659,1678,1315,363,429,0,0,97,100,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,485,515,6424282,3215209,3209073,0,6424282,506025,1
4,205,702,734,1943,1348,360,438,0,16,97,108,1079843,0,0,13451329536,53,8063368,0,0,506025,1000,519,481,6424282,3226743,3197539,0,6424282,506025,5
4,205,598,628,1607,1305,332,412,0,0,33,96,1079800,0,0,13451329536,53,8063368,0,0,506025,1000,516,484,6424282,3225509,3198773,0,6424282,506025,7
4,205,614,642,1670,1317,371,435,0,16,87,96,1079843,0,0,13451329536,53,8063368,0,0,506025,1000,518,482,6424282,3227070,3197212,0,6424282,506025,2
