numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,205,662,632,1574,1140,390,469,0,11,55,68,1000843,0,0,6723993600,53,8063368,0,0,241921,600,321,279,4152848,2086578,2066270,0,4152848,241921,5
4,205,620,588,1485,1120,375,462,0,7,44,66,1000843,0,0,6723993600,53,8063368,0,0,241921,600,313,287,4152848,2074646,2078202,0,4152848,241921,10
4,205,772,710,1822,1249,458,513,0,0,36,70,1000800,0,0,6723993600,53,8063368,0,0,241921,600,328,272,4152848,2088377,2064471,0,4152848,241921,1
4,205,617,586,1373,1134,391,461,0,10,21,67,1000843,0,0,6723993600,53,8063368,0,0,241921,600,285,315,4152848,2084398,2068450,0,4152848,241921,7
4,205,640,600,1442,1129,401,462,0,0,39,69,1000800,0,0,6723993600,53,8063368,0,0,241921,600,318,282,4152848,2082264,2070584,0,4152848,241921,9
4,205,663,630,1596,1164,412,476,0,0,27,69,1000800,0,0,6723993600,53,8063368,0,0,241921,600,320,280,4152848,2092137,2060711,0,4152848,241921,3
4,205,633,604,1440,1132,397,465,0,10,43,68,1000843,0,0,6723993600,53,8063368,0,0,241921,600,287,313,4152848,2081688,2071160,0,4152848,241921,6
4,205,705,654,1557,1194,386,467,0,33,15,67,1000886,0,0,6723993600,53,8063368,0,0,241921,600,277,323,4152848,2093316,2059532,0,4152848,241921,2
4,205,627,597,1539,1134,375,457,0,7,51,68,1000843,0,0,6723993600,53,8063368,0,0,241921,600,285,315,4152848,2088836,2064012,0,4152848,241921,8
4,205,719,691,1766,1189,413,485,0,23,124,72,1000843,0,0,6723993600,53,8063368,0,0,241921,600,292,308,4152848,2071575,2081273,0,4152848,241921,4
