numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,205,822,817,2609,2206,357,438,0,53,123,104,906329,0,0,6727794688,53,8063368,0,0,506025,1000,484,516,7843536,3934509,3909027,0,7843536,506025,7
3,205,840,835,2562,2218,397,454,0,33,62,97,906329,0,0,6727794688,53,8063368,0,0,506025,1000,518,482,7843536,3945776,3897760,0,7843536,506025,1
3,205,846,842,2593,2215,392,455,0,22,78,100,906243,0,0,6727794688,53,8063368,0,0,506025,1000,483,517,7843536,3939066,3904470,0,7843536,506025,5
3,205,788,783,2516,2178,354,436,0,35,93,101,906329,0,0,6727794688,53,8063368,0,0,506025,1000,486,514,7843536,3934856,3908680,0,7843536,506025,9
3,205,804,796,2521,2239,389,449,0,19,62,101,906286,0,0,6727794688,53,8063368,0,0,506025,1000,481,519,7843536,3935991,3907545,0,7843536,506025,8
3,205,858,853,2760,2303,390,470,0,11,59,110,906243,0,0,6727794688,53,8063368,0,0,506025,1000,488,512,7843536,3937220,3906316,0,7843536,506025,4
3,205,836,832,2720,2260,384,460,0,30,70,106,906329,0,0,6727794688,53,8063368,0,0,506025,1000,519,481,7843536,3943878,3899658,0,7843536,506025,3
3,205,805,799,2590,2185,360,446,0,35,100,100,906329,0,0,6727794688,53,8063368,0,0,506025,1000,516,484,7843536,3935654,3907882,0,7843536,506025,2
3,205,800,795,2594,2218,351,440,0,26,64,98,906286,0,0,6727794688,53,8063368,0,0,506025,1000,515,485,7843536,3941913,3901623,0,7843536,506025,6
3,205,874,870,2864,2258,388,456,0,20,110,99,906286,0,0,6727794688,53,8063368,0,0,506025,1000,517,483,7843536,3941745,3901791,0,7843536,506025,10
