numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,211,3164,3220,7510,7386,382,469,0,15,12,246,1079843,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,7
4,211,3150,3196,7472,7329,373,458,0,33,13,239,1079886,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,8
4,211,3170,3219,7485,7273,401,461,0,0,41,241,1079800,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,3
4,211,3194,3247,7526,7342,412,462,0,39,13,237,1079843,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,1
4,211,3185,3260,7540,7357,406,459,0,10,11,247,1079843,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,10
4,211,3140,3188,7417,7277,380,452,0,20,8,237,1079843,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,4
4,211,3168,3226,7519,7390,399,455,0,26,24,242,1079843,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,6
4,211,3207,3260,7606,7367,378,457,0,76,22,239,1079886,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,2
4,211,3160,3216,7486,7335,366,456,7,25,13,238,1079929,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,5
4,211,3142,3193,7414,7279,390,462,0,0,24,239,1079800,0,0,13642498048,509,85833840,0,0,5067210,1000,600,400,83267047,2037800,81229247,0,83267047,5067210,9
