numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,213,24261,24639,85564,85241,385,451,0,51,3,2090,1079843,0,0,15125708800,5055,854827080,0,0,50486551,1800,1108,692,1003697658,492462426,511235232,0,1003697658,50486551,4
4,213,24243,24602,85229,84838,384,453,0,103,0,2041,1079929,0,0,15125708800,5055,854827080,0,0,50486551,1800,1108,692,1003697658,492494209,511203449,0,1003697658,50486551,10
4,213,24297,27872,85401,85011,399,467,0,66,0,2086,1079843,0,0,15125708800,5055,854814599,0,0,50486551,1800,1108,692,1003697658,492543343,511154315,0,1003697658,50486551,6
4,213,24482,24839,85207,84914,423,458,0,88,7,2043,1079886,0,0,15125708800,5055,854827080,0,0,50486551,1800,1108,692,1003697658,492434041,511263617,0,1003697658,50486551,9
4,213,24055,24407,86140,85824,390,454,0,35,4,2131,1079843,0,0,15125708800,5055,854827080,0,0,50486551,1800,1108,692,1003697658,492389608,511308050,0,1003697658,50486551,2
4,213,24803,28685,87725,84372,461,460,0,63,25,2048,1079886,0,0,15125708800,5055,854814599,0,0,50486551,1800,1094,706,1003697658,487824617,515873041,0,1003697658,50486551,8
4,213,24561,29164,86729,85828,395,463,0,81,4,2094,1079886,0,0,15125708800,5055,854814599,0,0,50486551,1800,1108,692,1003697658,492567106,511130552,0,1003697658,50486551,5
4,213,24764,25125,86113,85603,395,459,0,115,7,2055,1079886,0,0,15125708800,5055,854827080,0,0,50486551,1800,1108,692,1003697658,492563496,511134162,0,1003697658,50486551,7
4,213,23732,27693,84555,83948,390,457,0,57,0,2076,1079886,0,0,15125708800,5055,854816049,0,0,50486551,1800,1108,692,1003697658,492428356,511269302,0,1003697658,50486551,1
4,213,24752,28292,86855,86070,607,461,10,67,6,2096,1079972,0,0,15125708800,5055,854814599,0,0,50486551,1800,1108,692,1003697658,492598471,511099187,0,1003697658,50486551,3
