numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,263,172956,182279,1055519,1030479,466,550,0,6001,58,23643,1082079,0,0,47395635200,50549,9111930803,0,0,504931085,12000,3860,8140,10981613965,3482005246,7499608719,0,10981613965,504931085,5
4,263,173955,177344,1058239,1033538,466,546,0,6340,898,23765,1082294,0,0,47395635200,50549,9108388706,0,0,504931085,12000,4114,7886,10981613965,3702511249,7279102716,0,10981613965,504931085,10
4,263,164013,166936,1049630,1024213,488,542,0,6752,625,23890,1082337,0,0,47395635200,50549,9108383440,0,0,504931085,12000,4080,7920,10981613965,3686417412,7295196553,0,10981613965,504931085,6
4,263,172609,175916,1064657,1037649,474,542,0,6739,685,23472,1082466,0,0,47395635200,50549,9108415045,0,0,504931085,12000,3996,8004,10981613965,3623818638,7357795327,0,10981613965,504931085,3
4,263,170952,179683,1074910,1036088,476,550,0,6187,69,24194,1082208,0,0,47395635200,50549,9096194658,0,0,504931085,12000,3823,8177,10981613965,3434990283,7546623682,0,10981613965,504931085,2
4,263,173422,182620,1059313,1032620,602,664,0,4351,48,23163,1081434,0,0,47395635200,50549,9111930803,0,0,504931085,12000,3760,8240,10981613965,3432995893,7548618072,0,10981613965,504931085,1
4,263,166589,181763,1056788,1032297,456,544,0,5959,40,23638,1082036,0,0,47395635200,50549,9127635812,0,0,504931085,12000,3828,8172,10981613965,3478762236,7502851729,0,10981613965,504931085,8
4,263,173691,176936,1059504,1037450,499,546,0,6415,638,23493,1082509,0,0,47395635200,50549,9092702633,0,0,504931085,12000,4094,7906,10981613965,3690145206,7291468759,0,10981613965,504931085,7
4,263,166473,169444,1050547,1031732,528,537,0,6137,638,23424,1082509,0,0,47395635200,50549,9092675368,0,0,504931085,12000,3999,8001,10981613965,3630767260,7350846705,0,10981613965,504931085,4
4,263,173283,176845,1057345,1036238,460,538,0,5777,688,23358,1082294,0,0,47395635200,50549,9092705248,0,0,504931085,12000,3994,8006,10981613965,3619270775,7362343190,0,10981613965,504931085,9
