numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,263,138123,146875,763802,728181,537,615,0,11809,343,23371,1175114,0,0,87660953600,50549,9127636711,0,0,504931085,12000,3684,8316,10981613965,3337346987,7644266978,0,10981613965,504931085,3
4,263,136510,139900,756672,729577,550,618,0,12730,2106,23267,1175157,0,0,87660953600,50549,9108384339,0,0,504931085,12000,4135,7865,10981613965,3748625267,7232988698,0,10981613965,504931085,2
4,263,137746,141396,756399,727546,814,631,0,11805,1834,23008,1175200,0,0,87660953600,50549,9108384860,0,0,504931085,12000,4114,7886,10981613965,3715301719,7266312246,0,10981613965,504931085,9
4,263,140480,143724,762402,728788,578,615,0,11755,2807,23062,1175114,0,0,87660953600,50549,9108413716,0,0,504931085,12000,4226,7774,10981613965,3768708495,7212905470,0,10981613965,504931085,6
4,263,140709,144002,768866,730223,540,615,0,14113,2421,23464,1175157,0,0,87660953600,50549,9108415523,0,0,504931085,12000,4152,7848,10981613965,3697082067,7284531898,0,10981613965,504931085,4
4,263,137061,145841,765736,724340,540,619,0,13308,661,22808,1175157,0,0,87660953600,50549,9127643384,0,0,504931085,12000,3744,8256,10981613965,3356443462,7625170503,0,10981613965,504931085,7
4,263,135009,143635,749550,722773,551,621,0,12119,496,22786,1175071,0,0,87660953600,50549,9127636711,0,0,504931085,12000,3628,8372,10981613965,3290818201,7690795764,0,10981613965,504931085,5
4,263,135665,139693,754598,728415,592,619,0,14374,1573,22787,1175200,0,0,87660953600,50549,9092705248,0,0,504931085,12000,4058,7942,10981613965,3682335642,7299278323,0,10981613965,504931085,1
4,263,139049,142302,762930,727112,544,626,0,11092,3207,23617,1175200,0,0,87660953600,50549,9108415045,0,0,504931085,12000,4058,7942,10981613965,3681883726,7299730239,0,10981613965,504931085,10
4,263,139037,142370,760694,728125,524,617,0,12706,1650,23387,1175157,0,0,87660953600,50549,9108410257,0,0,504931085,12000,4140,7860,10981613965,3687459279,7294154686,0,10981613965,504931085,8
