numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
3,263,206445,206440,1560609,1522435,443,544,9,12229,0,29743,914800,0,0,53687091200,50549,9108392785,0,0,504931085,12000,3994,8006,12973054148,4310317379,8662736769,0,12973054148,504931085,4
3,263,225568,225560,1507953,1452090,441,560,0,10719,0,29737,914800,0,0,53687091200,50549,9108412012,0,0,504931085,12000,4008,7992,12973054148,4333470557,8639583591,0,12973054148,504931085,9
3,263,227069,227061,1499227,1455436,437,557,0,11249,0,30056,914800,0,0,53687091200,50549,9108413320,0,0,504931085,12000,4006,7994,12973054148,4332888165,8640165983,0,12973054148,504931085,5
3,263,229977,229970,1496905,1455120,472,566,0,11483,0,29466,914800,0,0,53687091200,50549,9108415907,0,0,504931085,12000,4004,7996,12973054148,4336744963,8636309185,0,12973054148,504931085,3
3,263,206269,206263,1548320,1520864,456,547,0,10999,0,29117,914800,0,0,53687091200,50549,9108389472,0,0,504931085,12000,3977,8023,12973054148,4290751609,8682302539,0,12973054148,504931085,2
3,263,207495,207489,1563543,1514784,441,541,0,11638,0,28612,914800,0,0,53687091200,50549,9108416099,0,0,504931085,12000,3979,8021,12973054148,4291288432,8681765716,0,12973054148,504931085,7
3,263,208148,208142,1564202,1515815,433,546,0,12794,0,29593,914800,0,0,53687091200,50549,9108409452,0,0,504931085,12000,3988,8012,12973054148,4300816391,8672237757,0,12973054148,504931085,10
3,263,225233,225225,1501519,1458319,577,553,0,11050,6,29918,914800,0,0,53687091200,50549,9108410257,0,0,504931085,12000,3997,8003,12973054148,4322740159,8650313989,0,12973054148,504931085,8
3,263,208135,208129,1554433,1524158,511,614,0,13726,0,29854,914800,0,0,53687091200,50549,9108383440,0,0,504931085,12000,3986,8014,12973054148,4300910480,8672143668,0,12973054148,504931085,1
3,263,227497,227490,1496957,1467262,672,569,0,10999,0,29146,914800,0,0,53687091200,50549,9108411156,0,0,504931085,12000,4010,7990,12973054148,4337085653,8635968495,0,12973054148,504931085,6
