numStages,numTasks,elapsedTime,stageDuration,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,runNumber
4,215,3743,4161,25175,17865,610,566,0,78,1496,625,1079658,0,0,13889437696,1432,206443416,0,0,14265990,3000,983,2017,179847290,63299720,116547570,0,179847290,14265990,1
4,215,2653,2954,17299,16313,527,538,0,40,137,624,1079675,0,0,13889437696,1432,206443416,0,0,14265990,3000,1016,1984,179847290,64604559,115242731,0,179847290,14265990,10
4,215,2766,3618,17861,16622,492,547,0,129,304,598,1079762,0,0,13889437696,1432,206443416,0,0,14265990,3000,1020,1980,179847290,64786663,115060627,0,179847290,14265990,3
4,215,2724,3036,17242,16352,575,542,0,108,166,635,1079761,0,0,13889437696,1432,206443416,0,0,14265990,3000,1016,1984,179847290,64954880,114892410,0,179847290,14265990,5
4,215,2632,2917,16913,16250,575,531,0,46,248,624,1079589,0,0,13889437696,1432,206443416,0,0,14265990,3000,1017,1983,179847290,64553646,115293644,0,179847290,14265990,6
4,215,2573,2866,16796,16231,492,538,0,53,91,596,1079674,0,0,13889437696,1432,206443416,0,0,14265990,3000,1013,1987,179847290,64600254,115247036,0,179847290,14265990,9
4,215,2598,2882,17262,16276,498,542,0,130,306,604,1079762,0,0,13889437696,1432,206443416,0,0,14265990,3000,1020,1980,179847290,64746663,115100627,0,179847290,14265990,8
4,215,2722,3523,18171,16907,529,547,0,75,187,600,1079588,0,0,13889437696,1432,206443416,0,0,14265990,3000,989,2011,179847290,64142966,115704324,0,179847290,14265990,7
4,215,2887,3776,18673,17052,623,551,0,99,383,600,1079763,0,0,13889437696,1432,206443416,0,0,14265990,3000,1020,1980,179847290,64794447,115052843,0,179847290,14265990,2
4,215,2767,3077,17980,16734,518,555,0,42,280,614,1079633,0,0,13889437696,1432,206443416,0,0,14265990,3000,1001,1999,179847290,65024291,114822999,0,179847290,14265990,4
