,structure,size,elapsed_time,run
0,sorted_asc,10000_1_year,8.001,2
1,sorted_asc,10000_1_year,8.001,3
2,sorted_asc,10000_1_year,8.002,4
3,sorted_asc,10000_1_year,8.002,5
4,sorted_asc,10000_1_year,8.002,6
5,sorted_asc,100000_1_year,24.002,2
6,sorted_asc,100000_1_year,28.003,3
7,sorted_asc,100000_1_year,26.002,4
8,sorted_asc,100000_1_year,30.002,5
9,sorted_asc,100000_1_year,26.002,6
10,sorted_asc,1000000_1_year,174.008,2
11,sorted_asc,1000000_1_year,174.008,3
12,sorted_asc,1000000_1_year,172.007,4
13,sorted_asc,1000000_1_year,172.008,5
14,sorted_asc,1000000_1_year,172.008,6
15,sorted_asc,10000000_1_year,528.022,2
16,sorted_asc,10000000_1_year,482.02,3
17,sorted_asc,10000000_1_year,482.02,4
18,sorted_asc,10000000_1_year,488.021,5
19,sorted_asc,10000000_1_year,484.021,6
