,executors,structure_type,function,dataset_size,std_percentage
0,4,sorted-asc_bucketed_80,exploding,10000000,0.0
1,4,sorted-asc_bucketed_80,union,10000000,0.0
2,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000000,0.0
3,4,sorted-asc_bucketed_80,exploding,100000,0.0
4,4,sorted-asc_bucketed_80,union,100000,0.0
5,4,sorted-asc_bucketed_80,earlyStopSortMerge,100000,0.0
6,4,sorted-asc_bucketed_80,exploding,1000000,0.0
7,4,sorted-asc_bucketed_80,union,1000000,0.0
8,4,sorted-asc_bucketed_80,earlyStopSortMerge,1000000,0.0
9,4,sorted-asc_bucketed_80,exploding,10000,0.0
10,4,sorted-asc_bucketed_80,union,10000,0.0
11,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.0
12,4,sorted-asc_bucketed_20,exploding,10000000,0.0015041796283290062
13,4,sorted-asc_bucketed_20,union,10000000,0.0
14,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.0
15,4,sorted-asc_bucketed_20,exploding,100000,0.0
16,4,sorted-asc_bucketed_20,union,100000,0.0
17,4,sorted-asc_bucketed_20,earlyStopSortMerge,100000,0.0
18,4,sorted-asc_bucketed_20,exploding,1000000,0.0
19,4,sorted-asc_bucketed_20,union,1000000,0.0
20,4,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.0
21,4,sorted-asc_bucketed_20,exploding,10000,0.0
22,4,sorted-asc_bucketed_20,union,10000,0.0
23,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.0
24,4,sorted-desc,exploding,10000000,0.0
25,4,sorted-desc,union,10000000,0.0
26,4,sorted-desc,earlyStopSortMerge,10000000,0.0
27,4,sorted-desc,exploding,100000,0.0
28,4,sorted-desc,union,100000,0.0
29,4,sorted-desc,earlyStopSortMerge,100000,0.0
30,4,sorted-desc,exploding,1000000,0.0
31,4,sorted-desc,union,1000000,0.0
32,4,sorted-desc,earlyStopSortMerge,1000000,0.0
33,4,sorted-desc,exploding,10000,0.0
34,4,sorted-desc,union,10000,0.0
35,4,sorted-desc,earlyStopSortMerge,10000,0.0
36,4,sorted-asc_bucketed_40,exploding,10000000,0.0010090554427420184
37,4,sorted-asc_bucketed_40,union,10000000,0.0
38,4,sorted-asc_bucketed_40,earlyStopSortMerge,10000000,0.0
39,4,sorted-asc_bucketed_40,exploding,100000,0.0
40,4,sorted-asc_bucketed_40,union,100000,0.0
41,4,sorted-asc_bucketed_40,earlyStopSortMerge,100000,0.0
