,executors,structure_type,function,dataset_size,std_percentage
0,4,sorted-asc_bucketed_80,exploding,10000000,0.0060278511723577816
1,4,sorted-asc_bucketed_80,union,10000000,0.0011517803314330967
2,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000000,0.00618578965974501
3,4,sorted-asc_bucketed_80,exploding,100000,0.04740716795776171
4,4,sorted-asc_bucketed_80,union,100000,0.023563445988176914
5,4,sorted-asc_bucketed_80,earlyStopSortMerge,100000,0.040368811136064935
6,4,sorted-asc_bucketed_80,exploding,1000000,0.0071415090541345405
7,4,sorted-asc_bucketed_80,union,1000000,0.009899155418056966
8,4,sorted-asc_bucketed_80,earlyStopSortMerge,1000000,0.007111303529424992
9,4,sorted-asc_bucketed_80,exploding,10000,0.03522348356831871
10,4,sorted-asc_bucketed_80,union,10000,0.030376457360189915
11,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.014777664131221564
12,4,sorted-asc_bucketed_20,exploding,10000000,0.0042238063817242166
13,4,sorted-asc_bucketed_20,union,10000000,0.0013317470446692614
14,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.004433676882150817
15,4,sorted-asc_bucketed_20,exploding,100000,0.08203338238843703
16,4,sorted-asc_bucketed_20,union,100000,0.03020210071176335
17,4,sorted-asc_bucketed_20,earlyStopSortMerge,100000,0.06401107682903737
18,4,sorted-asc_bucketed_20,exploding,1000000,0.008624051331025284
19,4,sorted-asc_bucketed_20,union,1000000,0.003360383895448279
20,4,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.0036068403150481027
21,4,sorted-asc_bucketed_20,exploding,10000,0.06809836822642698
22,4,sorted-asc_bucketed_20,union,10000,0.04249809090360845
23,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.06459362506179527
24,4,sorted-desc,exploding,10000000,0.004042363936532726
25,4,sorted-desc,union,10000000,0.001662688031147233
26,4,sorted-desc,earlyStopSortMerge,10000000,0.003321862759240795
27,4,sorted-desc,exploding,100000,0.027431586725963943
28,4,sorted-desc,union,100000,0.04208357053066924
29,4,sorted-desc,earlyStopSortMerge,100000,0.03761401026975072
30,4,sorted-desc,exploding,1000000,0.013670294242595856
31,4,sorted-desc,union,1000000,0.0070237170366156555
32,4,sorted-desc,earlyStopSortMerge,1000000,0.015435836002147747
33,4,sorted-desc,exploding,10000,0.06125804746643486
34,4,sorted-desc,union,10000,0.04672963816775354
35,4,sorted-desc,earlyStopSortMerge,10000,0.039584548263417584
36,4,sorted-asc_bucketed_40,exploding,10000000,0.0030645451139960315
37,4,sorted-asc_bucketed_40,union,10000000,0.0013044717372198826
38,4,sorted-asc_bucketed_40,earlyStopSortMerge,10000000,0.003061693921645236
39,4,sorted-asc_bucketed_40,exploding,100000,0.03898378567907248
40,4,sorted-asc_bucketed_40,union,100000,0.0311213242758984
41,4,sorted-asc_bucketed_40,earlyStopSortMerge,100000,0.048332860677829464
42,4,sorted-asc_bucketed_40,exploding,1000000,0.009110909001981264
43,4,sorted-asc_bucketed_40,union,1000000,0.00968859573370683
44,4,sorted-asc_bucketed_40,earlyStopSortMerge,1000000,0.007123400619448636
45,4,sorted-asc_bucketed_40,exploding,10000,0.06759243966280429
46,4,sorted-asc_bucketed_40,union,10000,0.03610057706411758
47,4,sorted-asc_bucketed_40,earlyStopSortMerge,10000,0.039832845182548614
48,4,sorted-rand,exploding,10000000,0.0025962194166721892
49,4,sorted-rand,union,10000000,0.004549601470247186
50,4,sorted-rand,earlyStopSortMerge,10000000,0.00200368292932149
51,4,sorted-rand,exploding,100000,0.017171983368875852
52,4,sorted-rand,union,100000,0.019560869676726465
53,4,sorted-rand,earlyStopSortMerge,100000,0.018966880389361857
54,4,sorted-rand,exploding,1000000,0.008960995038077436
55,4,sorted-rand,union,1000000,0.009090373322729928
56,4,sorted-rand,earlyStopSortMerge,1000000,0.012048453814976915
57,4,sorted-rand,exploding,10000,0.02440134468660608
58,4,sorted-rand,union,10000,0.013705951052077883
59,4,sorted-rand,earlyStopSortMerge,10000,0.015211663106769264
60,4,sorted-asc,exploding,10000000,0.01495824255604051
61,4,sorted-asc,union,10000000,0.002709317919879649
62,4,sorted-asc,earlyStopSortMerge,10000000,0.0029574460838626936
63,4,sorted-asc,exploding,100000,0.027080254709062127
64,4,sorted-asc,union,100000,0.029526691329316814
65,4,sorted-asc,earlyStopSortMerge,100000,0.01563794785604205
66,4,sorted-asc,exploding,1000000,0.013480560882458997
67,4,sorted-asc,union,1000000,0.005313916659284159
68,4,sorted-asc,earlyStopSortMerge,1000000,0.015459728063008485
69,4,sorted-asc,exploding,10000,0.21414320975859658
70,4,sorted-asc,union,10000,0.10172246124015868
71,4,sorted-asc,earlyStopSortMerge,10000,0.05880461239476367
72,4,sorted-asc_bucketed_160,exploding,10000000,0.004154862196873875
