,executors,structure_type,function,dataset_size,std_percentage
0,4,sorted-asc_bucketed_80,exploding,10000000,0.018212127370554977
1,4,sorted-asc_bucketed_80,union,10000000,0.0013120154352483785
2,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000000,0.008933296626172456
3,4,sorted-asc_bucketed_80,exploding,100000,0.052912329748421985
4,4,sorted-asc_bucketed_80,union,100000,0.024590167379873542
5,4,sorted-asc_bucketed_80,earlyStopSortMerge,100000,0.04030766677163859
6,4,sorted-asc_bucketed_80,exploding,1000000,0.006749408586134009
7,4,sorted-asc_bucketed_80,union,1000000,0.009959855174833759
8,4,sorted-asc_bucketed_80,earlyStopSortMerge,1000000,0.008401407037163099
9,4,sorted-asc_bucketed_80,exploding,10000,0.06652998380396713
10,4,sorted-asc_bucketed_80,union,10000,0.031174263593552867
11,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.06489779013629582
12,4,sorted-asc_bucketed_20,exploding,10000000,0.00992537919361572
13,4,sorted-asc_bucketed_20,union,10000000,0.0018111547798830585
14,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.015565276564894944
15,4,sorted-asc_bucketed_20,exploding,100000,0.08734903860210791
16,4,sorted-asc_bucketed_20,union,100000,0.03359860328161019
17,4,sorted-asc_bucketed_20,earlyStopSortMerge,100000,0.059099169197548256
18,4,sorted-asc_bucketed_20,exploding,1000000,0.011871081281935975
19,4,sorted-asc_bucketed_20,union,1000000,0.003479515097989316
20,4,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.006122611087280687
21,4,sorted-asc_bucketed_20,exploding,10000,0.08897118405025604
22,4,sorted-asc_bucketed_20,union,10000,0.055845716770404896
23,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.15558028790873832
24,4,sorted-desc,exploding,10000000,0.005958934004772988
25,4,sorted-desc,union,10000000,0.0019518750826201493
26,4,sorted-desc,earlyStopSortMerge,10000000,0.003286571958130746
27,4,sorted-desc,exploding,100000,0.026423258362304976
28,4,sorted-desc,union,100000,0.043041032783039355
29,4,sorted-desc,earlyStopSortMerge,100000,0.03530733368572465
30,4,sorted-desc,exploding,1000000,0.013379892323573311
31,4,sorted-desc,union,1000000,0.007139422734139217
32,4,sorted-desc,earlyStopSortMerge,1000000,0.016441349605927472
33,4,sorted-desc,exploding,10000,0.11600105087068792
34,4,sorted-desc,union,10000,0.05924661168333555
35,4,sorted-desc,earlyStopSortMerge,10000,0.09795964793411481
36,4,sorted-asc_bucketed_40,exploding,10000000,0.007710027021693016
37,4,sorted-asc_bucketed_40,union,10000000,0.0017939864836645622
38,4,sorted-asc_bucketed_40,earlyStopSortMerge,10000000,0.00559722936006422
39,4,sorted-asc_bucketed_40,exploding,100000,0.050841129727562925
40,4,sorted-asc_bucketed_40,union,100000,0.029034670859519964
41,4,sorted-asc_bucketed_40,earlyStopSortMerge,100000,0.07060828683810669
42,4,sorted-asc_bucketed_40,exploding,1000000,0.009734308488277164
43,4,sorted-asc_bucketed_40,union,1000000,0.009796521225180856
44,4,sorted-asc_bucketed_40,earlyStopSortMerge,1000000,0.00677798076003236
45,4,sorted-asc_bucketed_40,exploding,10000,0.11664171196160084
46,4,sorted-asc_bucketed_40,union,10000,0.042088969717077866
47,4,sorted-asc_bucketed_40,earlyStopSortMerge,10000,0.16340951890936226
48,4,sorted-rand,exploding,10000000,0.004165292257477794
49,4,sorted-rand,union,10000000,0.006239266017356429
50,4,sorted-rand,earlyStopSortMerge,10000000,0.0018023035141986712
51,4,sorted-rand,exploding,100000,0.02686256526048073
52,4,sorted-rand,union,100000,0.02041671975428709
53,4,sorted-rand,earlyStopSortMerge,100000,0.01600145506245366
54,4,sorted-rand,exploding,1000000,0.009674355040601145
55,4,sorted-rand,union,1000000,0.009447146157721287
56,4,sorted-rand,earlyStopSortMerge,1000000,0.012374606193343464
57,4,sorted-rand,exploding,10000,0.0528414083829773
58,4,sorted-rand,union,10000,0.03166399187952476
59,4,sorted-rand,earlyStopSortMerge,10000,0.02170606151881597
60,4,sorted-asc,exploding,10000000,0.022788586461453895
61,4,sorted-asc,union,10000000,0.003352965046390339
62,4,sorted-asc,earlyStopSortMerge,10000000,0.003069242819609566
63,4,sorted-asc,exploding,100000,0.05298040147934898
64,4,sorted-asc,union,100000,0.033744399476845995
65,4,sorted-asc,earlyStopSortMerge,100000,0.033586605375401084
66,4,sorted-asc,exploding,1000000,0.06132938717599481
67,4,sorted-asc,union,1000000,0.012951525393113283
68,4,sorted-asc,earlyStopSortMerge,1000000,0.017253327482622437
69,4,sorted-asc,exploding,10000,0.346785744303284
70,4,sorted-asc,union,10000,0.2327634089343362
71,4,sorted-asc,earlyStopSortMerge,10000,0.08772125566590941
72,4,sorted-asc_bucketed_160,exploding,10000000,0.009175641288120729
73,4,sorted-asc_bucketed_160,union,10000000,0.021513541739596402
74,4,sorted-asc_bucketed_160,earlyStopSortMerge,10000000,0.005036847670774293
75,4,sorted-asc_bucketed_160,exploding,100000,0.08097214801974802
76,4,sorted-asc_bucketed_160,union,100000,0.03580073447274748
77,4,sorted-asc_bucketed_160,earlyStopSortMerge,100000,0.064426731582825
78,4,sorted-asc_bucketed_160,exploding,1000000,0.019808881161395366
79,4,sorted-asc_bucketed_160,union,1000000,0.011502630220665257
80,4,sorted-asc_bucketed_160,earlyStopSortMerge,1000000,0.0115578998446178
81,4,sorted-asc_bucketed_160,exploding,10000,0.2802639361171389
82,4,sorted-asc_bucketed_160,union,10000,0.15945534795131558
83,4,sorted-asc_bucketed_160,earlyStopSortMerge,10000,0.05248235857903409
84,2,sorted-asc_bucketed_80,exploding,10000000,0.006859803470547834
85,2,sorted-asc_bucketed_80,union,10000000,0.003688480662248031
86,2,sorted-asc_bucketed_80,earlyStopSortMerge,10000000,0.007636140478011608
87,2,sorted-asc_bucketed_80,exploding,100000,0.03255135530200947
88,2,sorted-asc_bucketed_80,union,100000,0.020561173912756064
89,2,sorted-asc_bucketed_80,earlyStopSortMerge,100000,0.039460914456613906
90,2,sorted-asc_bucketed_80,exploding,1000000,0.006655802942841542
91,2,sorted-asc_bucketed_80,union,1000000,0.006154898786090391
92,2,sorted-asc_bucketed_80,earlyStopSortMerge,1000000,0.012876183787343346
93,2,sorted-asc_bucketed_80,exploding,10000,0.08019976690025005
