,executors,structure_type,function,dataset_size,std_percentage
0,4,sorted-asc_bucketed_80,exploding,10000000,0.0
1,4,sorted-asc_bucketed_80,union,10000000,3.0
2,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000000,0.0
3,4,sorted-asc_bucketed_80,exploding,100000,0.0
4,4,sorted-asc_bucketed_80,union,100000,0.7844366264195503
5,4,sorted-asc_bucketed_80,earlyStopSortMerge,100000,0.0
6,4,sorted-asc_bucketed_80,exploding,1000000,0.0
7,4,sorted-asc_bucketed_80,union,1000000,0.0
8,4,sorted-asc_bucketed_80,earlyStopSortMerge,1000000,0.0
9,4,sorted-asc_bucketed_80,exploding,10000,0.0
10,4,sorted-asc_bucketed_80,union,10000,0.8673055602907449
11,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.0
12,4,sorted-asc_bucketed_20,exploding,10000000,0.0
13,4,sorted-asc_bucketed_20,union,10000000,0.10932368667825168
14,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.0
15,4,sorted-asc_bucketed_20,exploding,100000,0.0
16,4,sorted-asc_bucketed_20,union,100000,1.1778482290576306
17,4,sorted-asc_bucketed_20,earlyStopSortMerge,100000,3.0
18,4,sorted-asc_bucketed_20,exploding,1000000,0.0
19,4,sorted-asc_bucketed_20,union,1000000,0.0
20,4,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.0
21,4,sorted-asc_bucketed_20,exploding,10000,0.0
22,4,sorted-asc_bucketed_20,union,10000,0.9810873352905211
23,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.0
24,4,sorted-desc,exploding,10000000,1.4695993407123664
25,4,sorted-desc,union,10000000,0.0
26,4,sorted-desc,earlyStopSortMerge,10000000,1.5811126953420813
27,4,sorted-desc,exploding,100000,0.0
28,4,sorted-desc,union,100000,3.0
29,4,sorted-desc,earlyStopSortMerge,100000,0.0
30,4,sorted-desc,exploding,1000000,0.7671646933134153
31,4,sorted-desc,union,1000000,0.0
32,4,sorted-desc,earlyStopSortMerge,1000000,0.5358254951302256
33,4,sorted-desc,exploding,10000,0.0
34,4,sorted-desc,union,10000,0.7371746955954835
35,4,sorted-desc,earlyStopSortMerge,10000,0.4022443958796946
36,4,sorted-asc_bucketed_40,exploding,10000000,0.0
37,4,sorted-asc_bucketed_40,union,10000000,0.5873187288218831
38,4,sorted-asc_bucketed_40,earlyStopSortMerge,10000000,0.0
39,4,sorted-asc_bucketed_40,exploding,100000,0.0
40,4,sorted-asc_bucketed_40,union,100000,1.7094589456394145
41,4,sorted-asc_bucketed_40,earlyStopSortMerge,100000,0.0
42,4,sorted-asc_bucketed_40,exploding,1000000,0.0
43,4,sorted-asc_bucketed_40,union,1000000,0.0
44,4,sorted-asc_bucketed_40,earlyStopSortMerge,1000000,0.0
45,4,sorted-asc_bucketed_40,exploding,10000,0.0
46,4,sorted-asc_bucketed_40,union,10000,1.0307764064044151
47,4,sorted-asc_bucketed_40,earlyStopSortMerge,10000,0.0
48,4,sorted-rand,exploding,10000000,0.5032193623615565
49,4,sorted-rand,union,10000000,0.0
50,4,sorted-rand,earlyStopSortMerge,10000000,0.860072929342031
51,4,sorted-rand,exploding,100000,1.614524068347608
52,4,sorted-rand,union,100000,1.2104865871944959
53,4,sorted-rand,earlyStopSortMerge,100000,0.5171041425234147
54,4,sorted-rand,exploding,1000000,0.6298687910013886
55,4,sorted-rand,union,1000000,0.0
56,4,sorted-rand,earlyStopSortMerge,1000000,0.5619590824789852
57,4,sorted-rand,exploding,10000,0.49755796545413833
58,4,sorted-rand,union,10000,0.614806854257796
59,4,sorted-rand,earlyStopSortMerge,10000,0.6423626372894574
60,4,sorted-asc,exploding,10000000,1.216494306783842
61,4,sorted-asc,union,10000000,0.0
62,4,sorted-asc,earlyStopSortMerge,10000000,0.8509103612640843
63,4,sorted-asc,exploding,100000,0.7580670018822027
64,4,sorted-asc,union,100000,1.0864473141207516
65,4,sorted-asc,earlyStopSortMerge,100000,0.7130433835970219
66,4,sorted-asc,exploding,1000000,0.8453827535501302
67,4,sorted-asc,union,1000000,0.0
68,4,sorted-asc,earlyStopSortMerge,1000000,0.5206325813947574
69,4,sorted-asc,exploding,10000,0.6886429703645206
70,4,sorted-asc,union,10000,0.6976242557256511
71,4,sorted-asc,earlyStopSortMerge,10000,0.33766220221884613
72,4,sorted-asc_bucketed_160,exploding,10000000,0.0
73,4,sorted-asc_bucketed_160,union,10000000,0.0
74,4,sorted-asc_bucketed_160,earlyStopSortMerge,10000000,3.0
75,4,sorted-asc_bucketed_160,exploding,100000,3.0
76,4,sorted-asc_bucketed_160,union,100000,0.9300537618869138
77,4,sorted-asc_bucketed_160,earlyStopSortMerge,100000,0.0
78,4,sorted-asc_bucketed_160,exploding,1000000,0.0
79,4,sorted-asc_bucketed_160,union,1000000,3.0000000000000004
80,4,sorted-asc_bucketed_160,earlyStopSortMerge,1000000,0.0
81,4,sorted-asc_bucketed_160,exploding,10000,3.0
82,4,sorted-asc_bucketed_160,union,10000,0.6545264186632314
83,4,sorted-asc_bucketed_160,earlyStopSortMerge,10000,0.0
84,2,sorted-asc_bucketed_80,exploding,10000000,0.0
85,2,sorted-asc_bucketed_80,union,10000000,0.0
86,2,sorted-asc_bucketed_80,earlyStopSortMerge,10000000,0.0
87,2,sorted-asc_bucketed_80,exploding,100000,0.0
88,2,sorted-asc_bucketed_80,union,100000,0.0
89,2,sorted-asc_bucketed_80,earlyStopSortMerge,100000,0.0
90,2,sorted-asc_bucketed_80,exploding,1000000,0.0
91,2,sorted-asc_bucketed_80,union,1000000,0.0
92,2,sorted-asc_bucketed_80,earlyStopSortMerge,1000000,0.0
93,2,sorted-asc_bucketed_80,exploding,10000,0.0
94,2,sorted-asc_bucketed_80,union,10000,0.0
95,2,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.0
96,2,sorted-asc_bucketed_20,exploding,10000000,0.0
97,2,sorted-asc_bucketed_20,union,10000000,0.0
98,2,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.0
99,2,sorted-asc_bucketed_20,exploding,100000,0.0
100,2,sorted-asc_bucketed_20,union,100000,0.0
101,2,sorted-asc_bucketed_20,earlyStopSortMerge,100000,0.0
102,2,sorted-asc_bucketed_20,exploding,1000000,0.0
103,2,sorted-asc_bucketed_20,union,1000000,0.0
104,2,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.0
105,2,sorted-asc_bucketed_20,exploding,10000,0.0
106,2,sorted-asc_bucketed_20,union,10000,0.0
107,2,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.0
108,2,sorted-desc,exploding,10000000,0.0
109,2,sorted-desc,union,10000000,0.0
110,2,sorted-desc,earlyStopSortMerge,10000000,0.0
111,2,sorted-desc,exploding,100000,0.0
112,2,sorted-desc,union,100000,0.0
113,2,sorted-desc,earlyStopSortMerge,100000,0.0
114,2,sorted-desc,exploding,1000000,0.0
115,2,sorted-desc,union,1000000,0.0
116,2,sorted-desc,earlyStopSortMerge,1000000,0.0
117,2,sorted-desc,exploding,10000,0.0
118,2,sorted-desc,union,10000,0.0
119,2,sorted-desc,earlyStopSortMerge,10000,0.0
120,2,sorted-asc_bucketed_40,exploding,10000000,0.0
121,2,sorted-asc_bucketed_40,union,10000000,0.0
122,2,sorted-asc_bucketed_40,earlyStopSortMerge,10000000,0.0
123,2,sorted-asc_bucketed_40,exploding,100000,0.0
124,2,sorted-asc_bucketed_40,union,100000,0.0
125,2,sorted-asc_bucketed_40,earlyStopSortMerge,100000,0.0
126,2,sorted-asc_bucketed_40,exploding,1000000,0.0
127,2,sorted-asc_bucketed_40,union,1000000,0.0
128,2,sorted-asc_bucketed_40,earlyStopSortMerge,1000000,0.0
129,2,sorted-asc_bucketed_40,exploding,10000,0.0
130,2,sorted-asc_bucketed_40,union,10000,0.0
131,2,sorted-asc_bucketed_40,earlyStopSortMerge,10000,0.0
132,2,sorted-rand,exploding,10000000,0.0
133,2,sorted-rand,union,10000000,0.0
134,2,sorted-rand,earlyStopSortMerge,10000000,0.0
135,2,sorted-rand,exploding,100000,0.0
136,2,sorted-rand,union,100000,0.0
137,2,sorted-rand,earlyStopSortMerge,100000,0.0
138,2,sorted-rand,exploding,1000000,0.0
139,2,sorted-rand,union,1000000,0.0
140,2,sorted-rand,earlyStopSortMerge,1000000,0.0
141,2,sorted-rand,exploding,10000,0.0
142,2,sorted-rand,union,10000,0.0
143,2,sorted-rand,earlyStopSortMerge,10000,0.0
144,2,sorted-asc,exploding,10000000,0.0
145,2,sorted-asc,union,10000000,0.0
146,2,sorted-asc,earlyStopSortMerge,10000000,0.0
147,2,sorted-asc,exploding,100000,0.0
148,2,sorted-asc,union,100000,0.0
149,2,sorted-asc,earlyStopSortMerge,100000,0.0
150,2,sorted-asc,exploding,1000000,0.0
151,2,sorted-asc,union,1000000,0.0
152,2,sorted-asc,earlyStopSortMerge,1000000,0.0
153,2,sorted-asc,exploding,10000,0.0
154,2,sorted-asc,union,10000,0.0
155,2,sorted-asc,earlyStopSortMerge,10000,0.0
156,2,sorted-asc_bucketed_160,exploding,10000000,0.0
157,2,sorted-asc_bucketed_160,union,10000000,0.0
158,2,sorted-asc_bucketed_160,earlyStopSortMerge,10000000,0.0
159,2,sorted-asc_bucketed_160,exploding,100000,0.0
160,2,sorted-asc_bucketed_160,union,100000,0.0
161,2,sorted-asc_bucketed_160,earlyStopSortMerge,100000,0.0
162,2,sorted-asc_bucketed_160,exploding,1000000,0.0
163,2,sorted-asc_bucketed_160,union,1000000,0.0
164,2,sorted-asc_bucketed_160,earlyStopSortMerge,1000000,0.0
165,2,sorted-asc_bucketed_160,exploding,10000,0.0
166,2,sorted-asc_bucketed_160,union,10000,0.0
167,2,sorted-asc_bucketed_160,earlyStopSortMerge,10000,0.0
168,8,sorted-asc_bucketed_80,exploding,10000000,0.0
169,8,sorted-asc_bucketed_80,union,10000000,3.0
170,8,sorted-asc_bucketed_80,earlyStopSortMerge,10000000,0.0
171,8,sorted-asc_bucketed_80,exploding,100000,0.0
172,8,sorted-asc_bucketed_80,union,100000,0.6351350325146746
173,8,sorted-asc_bucketed_80,earlyStopSortMerge,100000,0.0
174,8,sorted-asc_bucketed_80,exploding,1000000,0.0
175,8,sorted-asc_bucketed_80,union,1000000,2.1560984046602583
176,8,sorted-asc_bucketed_80,earlyStopSortMerge,1000000,3.0
177,8,sorted-asc_bucketed_80,exploding,10000,3.0
178,8,sorted-asc_bucketed_80,union,10000,0.2575510574037919
179,8,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.0
180,8,sorted-asc_bucketed_20,exploding,10000000,0.0
181,8,sorted-asc_bucketed_20,union,10000000,0.8822851711606865
182,8,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.0
183,8,sorted-asc_bucketed_20,exploding,100000,0.0
184,8,sorted-asc_bucketed_20,union,100000,1.3783481962116828
185,8,sorted-asc_bucketed_20,earlyStopSortMerge,100000,2.730041208480194
186,8,sorted-asc_bucketed_20,exploding,1000000,0.0
187,8,sorted-asc_bucketed_20,union,1000000,0.5920168324260905
188,8,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.0
189,8,sorted-asc_bucketed_20,exploding,10000,0.0
190,8,sorted-asc_bucketed_20,union,10000,0.9097737572816238
191,8,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.0
192,8,sorted-desc,exploding,10000000,0.33677339541197837
193,8,sorted-desc,union,10000000,0.0
194,8,sorted-desc,earlyStopSortMerge,10000000,1.0435541822985541
195,8,sorted-desc,exploding,100000,1.361576567647505
196,8,sorted-desc,union,100000,0.5605550695040994
197,8,sorted-desc,earlyStopSortMerge,100000,0.6818384035108499
198,8,sorted-desc,exploding,1000000,0.8993410014349531
199,8,sorted-desc,union,1000000,0.9964861734502648
200,8,sorted-desc,earlyStopSortMerge,1000000,0.9541496744429931
201,8,sorted-desc,exploding,10000,0.7233955997624946
202,8,sorted-desc,union,10000,0.604778028988829
203,8,sorted-desc,earlyStopSortMerge,10000,0.3287590324810709
204,8,sorted-asc_bucketed_40,exploding,10000000,0.0
205,8,sorted-asc_bucketed_40,union,10000000,0.4112410350374642
206,8,sorted-asc_bucketed_40,earlyStopSortMerge,10000000,0.0
207,8,sorted-asc_bucketed_40,exploding,100000,0.0
208,8,sorted-asc_bucketed_40,union,100000,0.9336524658706498
209,8,sorted-asc_bucketed_40,earlyStopSortMerge,100000,0.0
210,8,sorted-asc_bucketed_40,exploding,1000000,0.0
211,8,sorted-asc_bucketed_40,union,1000000,2.142428528562855
212,8,sorted-asc_bucketed_40,earlyStopSortMerge,1000000,0.0
213,8,sorted-asc_bucketed_40,exploding,10000,0.0
214,8,sorted-asc_bucketed_40,union,10000,0.8919641248391101
215,8,sorted-asc_bucketed_40,earlyStopSortMerge,10000,0.0
216,8,sorted-rand,exploding,10000000,0.5998876881511197
217,8,sorted-rand,union,10000000,3.0
218,8,sorted-rand,earlyStopSortMerge,10000000,0.6846194887318023
219,8,sorted-rand,exploding,100000,0.3848325555359033
220,8,sorted-rand,union,100000,2.007413587781789
221,8,sorted-rand,earlyStopSortMerge,100000,0.5515516146957321
222,8,sorted-rand,exploding,1000000,0.8372323059904495
223,8,sorted-rand,union,1000000,1.6345871038277526
224,8,sorted-rand,earlyStopSortMerge,1000000,1.2074386788840692
225,8,sorted-rand,exploding,10000,0.6875279455590205
226,8,sorted-rand,union,10000,0.27407725686939655
227,8,sorted-rand,earlyStopSortMerge,10000,0.4006341623796147
228,8,sorted-asc,exploding,10000000,0.8833225690836106
229,8,sorted-asc,union,10000000,0.0
230,8,sorted-asc,earlyStopSortMerge,10000000,1.4743563136354303
231,8,sorted-asc,exploding,100000,0.5241190186235265
232,8,sorted-asc,union,100000,0.5577401393091165
233,8,sorted-asc,earlyStopSortMerge,100000,0.7585692583645267
234,8,sorted-asc,exploding,1000000,0.6744461813012159
235,8,sorted-asc,union,1000000,1.9364916731037085
236,8,sorted-asc,earlyStopSortMerge,1000000,0.27774199327493615
237,8,sorted-asc,exploding,10000,0.6428975052944845
238,8,sorted-asc,union,10000,0.4184547642938299
239,8,sorted-asc,earlyStopSortMerge,10000,0.7335541093819875
240,8,sorted-asc_bucketed_160,exploding,10000000,0.0
241,8,sorted-asc_bucketed_160,union,10000000,3.0
242,8,sorted-asc_bucketed_160,earlyStopSortMerge,10000000,0.0
243,8,sorted-asc_bucketed_160,exploding,100000,0.0
244,8,sorted-asc_bucketed_160,union,100000,0.335589961621851
245,8,sorted-asc_bucketed_160,earlyStopSortMerge,100000,0.0
246,8,sorted-asc_bucketed_160,exploding,1000000,0.0
247,8,sorted-asc_bucketed_160,union,1000000,2.364436766862205
248,8,sorted-asc_bucketed_160,earlyStopSortMerge,1000000,0.0
249,8,sorted-asc_bucketed_160,exploding,10000,0.0
250,8,sorted-asc_bucketed_160,union,10000,0.5475575559778476
251,8,sorted-asc_bucketed_160,earlyStopSortMerge,10000,0.0
