,executors,structure_type,function,dataset_size,std_percentage
0,4,sorted-asc_bucketed_80,exploding,10000000,0.03412529849102567
1,4,sorted-asc_bucketed_80,union,10000000,0.015102860053593545
2,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000000,0.038880463034857114
3,4,sorted-asc_bucketed_80,exploding,100000,0.03620928618513411
4,4,sorted-asc_bucketed_80,union,100000,0.045468486096835514
5,4,sorted-asc_bucketed_80,earlyStopSortMerge,100000,0.10220777158038703
6,4,sorted-asc_bucketed_80,exploding,1000000,0.034090909090909095
7,4,sorted-asc_bucketed_80,union,1000000,0.01767195948945609
8,4,sorted-asc_bucketed_80,earlyStopSortMerge,1000000,0.04821182598999188
9,4,sorted-asc_bucketed_80,exploding,10000,0.09229365038597409
10,4,sorted-asc_bucketed_80,union,10000,0.03307102933295877
11,4,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.03571428571428571
12,4,sorted-asc_bucketed_20,exploding,10000000,0.10714285714285715
13,4,sorted-asc_bucketed_20,union,10000000,0.018096138106175042
14,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.0
15,4,sorted-asc_bucketed_20,exploding,100000,0.13684920574472018
16,4,sorted-asc_bucketed_20,union,100000,0.03849510048659251
17,4,sorted-asc_bucketed_20,earlyStopSortMerge,100000,0.10714285714285715
18,4,sorted-asc_bucketed_20,exploding,1000000,0.1530134351694377
19,4,sorted-asc_bucketed_20,union,1000000,0.014996429126700666
20,4,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.0
21,4,sorted-asc_bucketed_20,exploding,10000,0.14823176532039276
22,4,sorted-asc_bucketed_20,union,10000,0.06270158829474905
23,4,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.15
24,4,sorted-desc,exploding,10000000,0.014375078788545406
25,4,sorted-desc,union,10000000,0.01860131789215005
26,4,sorted-desc,earlyStopSortMerge,10000000,0.016921131502232716
27,4,sorted-desc,exploding,100000,0.018266994606131143
28,4,sorted-desc,union,100000,0.021395978504239077
29,4,sorted-desc,earlyStopSortMerge,100000,0.06803923152599652
30,4,sorted-desc,exploding,1000000,0.006877700767095661
31,4,sorted-desc,union,1000000,0.01758086906286168
32,4,sorted-desc,earlyStopSortMerge,1000000,0.012354461060606215
33,4,sorted-desc,exploding,10000,0.06161541162488604
34,4,sorted-desc,union,10000,0.07493472633452364
